Student,LPIPS,SSIM
112598075.png,0.0,1.0
112598071.png,0.41585344076156616,0.6069622975150245
112598048.png,0.4197339117527008,0.5984881421254414
112598083.png,0.42661964893341064,0.5413634559273202
109590052.png,0.44526511430740356,0.5962519763481892
110590029.png,0.44682666659355164,0.6264815050428515
109590057.png,0.477215439081192,0.5882952108124719
109590015.png,0.49055758118629456,0.5768121979064822
